,O43474,O60216,O75534,P13639,P26358,P28069,P40763,Q00839,Q13363,Q15022,Q15059,Q15233,Q15366,Q15717,Q15910,Q6UXN9,Q8N6T7,Q8TB72,Q96EV2,Q9UBK2,Q9Y2Z0,Q9Y6K1
NCBI:100009676,0.669649272,0.620321343,0.386506423,0.424219503,0.926825854,0.941388515,0.695635042,0.764674318,0.694505547,0.648333285,0.658729134,0.423129264,0.442356616,0.658004483,0.74857022,0.687102835,0.6916652,0.675880805,0.671305257,0.593186434,0.475436029,0.644104696
NCBI:100048912,0.737539311,0.462252958,0.500733984,0.510416106,0.743502439,0.770452935,0.84846933,0.6178763,0.918930793,0.626133098,0.443581449,0.708325077,0.70723739,0.487569601,0.452843836,0.71733063,0.500923582,0.59196068,0.70542761,0.875159794,0.901561394,0.500550529
NCBI:100093630,0.865616173,0.91761337,0.936163495,0.810688166,0.68302713,0.776932184,0.77969266,0.849003519,0.811013795,0.84074863,0.887950094,0.777120834,0.771386467,0.743746925,0.886087893,0.749302653,0.76788535,0.749868321,0.708347958,0.803904926,0.838580642,0.868184826
NCBI:100093698,0.674054332,0.713920279,0.657908272,0.777915913,0.901646712,0.670645169,0.599198979,0.713663396,0.60868751,0.740329728,0.748919383,0.622175161,0.663143084,0.617868181,0.621760771,0.60354116,0.6411359,0.767243186,0.749210741,0.658887619,0.676489229,0.69610915
NCBI:100113386,0.649121497,0.686808629,0.391997557,0.384741035,0.83236965,0.811246038,0.434383971,0.450888278,0.364915399,0.430404865,0.47048391,0.388866577,0.402168788,0.55410181,0.438263647,0.415910942,0.36978578,0.388989728,0.52631038,0.491873709,0.672056453,0.732018225
NCBI:100124700,0.917889296,0.54855901,0.654361177,0.492038475,0.429664876,0.569326267,0.815536072,0.68724468,0.856137167,0.500470069,0.468105035,0.784013846,0.890530673,0.608236958,0.416163926,0.789827404,0.52900005,0.694394342,0.786513584,0.849628422,0.999272372,0.567008577
NCBI:100126793,0.67610435,0.734851587,0.674774464,0.683045008,0.672728016,0.711279273,0.684899917,0.748011065,0.650623779,0.638500816,0.715610231,0.723168365,0.678045831,0.706884581,0.617371268,0.560275251,0.693731746,0.743058628,0.713686859,0.752838414,0.675821061,0.70380676
NCBI:100127888,0.765249397,0.758036324,0.764813986,0.83256726,0.917451056,0.67874447,0.795269285,0.781034165,0.72574906,0.814870527,0.715375844,0.671259854,0.692268587,0.589385841,0.694881073,0.65244442,0.603724328,0.82660926,0.831179766,0.745885796,0.581250989,0.787962347
NCBI:100128098,0.867525402,0.957581318,0.831833195,0.913275718,0.723856447,0.669551832,0.843819036,0.761989383,0.835841194,0.867595094,0.865415791,0.936797837,0.766850714,0.796963177,0.827126373,0.765163291,0.780031041,0.819598715,0.728553953,0.883401954,0.749610239,0.822901854
NCBI:100128191,0.722619355,0.782033675,0.722954717,0.775190489,0.65598122,0.666338229,0.827255417,0.790402532,0.883675358,0.774758997,0.761108972,0.733700426,0.780964857,0.481180543,0.413664027,0.656718791,0.430071916,0.447530046,0.997313867,0.784269729,0.949600136,0.564264787
NCBI:100128262,0.613153019,0.594622813,0.575596001,0.779877562,0.642111819,0.556643961,0.754317151,0.672522422,0.640956284,0.655238719,0.716820803,0.709966741,0.567443117,0.60032836,0.612601627,0.683203294,0.699530969,0.622530394,0.670702206,0.610027398,0.578552798,0.525940473
NCBI:100128285,0.633833168,0.694527864,0.640609455,0.72458131,0.84692233,0.932723484,0.411357607,0.758062412,0.364022864,0.759255771,0.474894244,0.746474685,0.759719941,0.363005978,0.538641977,0.512687565,0.724687134,0.52963678,0.538311451,0.478818994,0.469742354,0.420570066
NCBI:100128385,0.400161157,0.544607886,0.729338503,0.462025048,0.859816834,0.890495239,0.448598817,0.43082006,0.571121503,0.574867306,0.57359915,0.618115963,0.69152563,0.409218527,0.636543347,0.642711334,0.364718595,0.438379432,0.626238473,0.415622334,0.564423113,0.764036914
NCBI:100128537,0.653770284,0.676627768,0.725934126,0.690526857,0.77956303,0.708373439,0.809784238,0.677236656,0.694420897,0.751580862,0.713461703,0.715057528,0.610717174,0.731265659,0.666427757,0.669263663,0.692781979,0.718808272,0.788880483,0.65831845,0.714330806,0.769369891
NCBI:100128560,0.71457711,0.610859323,0.787373411,0.680078456,0.718023191,0.613771974,0.687376728,0.649685521,0.557594157,0.746740257,0.693322042,0.585037113,0.608138565,0.552710536,0.572901395,0.68903466,0.605516396,0.680330594,0.810779943,0.701671762,0.649054384,0.670778705
NCBI:100128782,0.478338673,0.726857449,0.47171303,0.399661488,0.897601249,0.927099943,0.744382379,0.394471987,0.438003968,0.602010372,0.712097087,0.537190115,0.566925524,0.605009479,0.376261641,0.403948028,0.456495889,0.449646105,0.480844845,0.739500426,0.3996524,0.562904949
