,O43474,O60216,O75534,P13639,P26358,P28069,P40763,Q00839,Q13363,Q15022,Q15059,Q15233,Q15366,Q15717,Q15910,Q6UXN9,Q8N6T7,Q8TB72,Q96EV2,Q9UBK2,Q9Y2Z0,Q9Y6K1
NCBI:100009676,0.72841254,0.53214111,0.421093964,0.398167791,0.819438021,0.814205918,0.586773386,0.506813125,0.349235981,0.508221096,0.507431341,0.626960659,0.656888771,0.390973786,0.424959051,0.69403107,0.685398339,0.515252272,0.350513529,0.544632466,0.356911587,0.552888653
NCBI:100048912,0.907245315,0.403523359,0.74892165,0.427627743,0.544972753,0.43056809,0.932628523,0.446633549,0.84134601,0.581577933,0.43524791,0.578737051,0.792813053,0.577981237,0.729454262,0.465286759,0.656665785,0.563254855,0.896817037,0.89376952,0.932999714,0.486945521
NCBI:100093630,0.852516173,0.90451337,0.923063495,0.786688166,0.65902713,0.752932184,0.73819266,0.807503519,0.769513795,0.761540606,0.898630486,0.936544117,0.744466467,0.716826925,0.878901258,0.739882653,0.808891084,0.740448321,0.698927958,0.794484926,0.829160642,0.858764826
NCBI:100093698,0.660954332,0.700820279,0.644808272,0.753915913,0.877646712,0.646645169,0.557698979,0.672163396,0.56718751,0.774073922,0.963012666,0.816959881,0.636223084,0.590948181,0.791431318,0.59412116,0.838776831,0.757823186,0.739790741,0.649467619,0.667069229,0.68668915
NCBI:100113386,0.598503684,0.382600065,0.451700408,0.606904569,0.836052355,0.800504095,0.376754942,0.547196079,0.726587947,0.687040229,0.351430117,0.469839871,0.668744911,0.654338655,0.695939444,0.559295608,0.341908139,0.686467924,0.618262243,0.704309868,0.562406093,0.54164922
NCBI:100124700,0.895032468,0.762286191,0.541203566,0.526858275,0.738594648,0.517423904,0.787613899,0.463507166,0.726109369,0.583921811,0.505937635,0.404983357,0.846355643,0.612501687,0.548190953,0.734372101,0.686306305,0.66465116,0.770469948,0.83298048,0.84570842,0.632365226
NCBI:100126793,0.66300435,0.721751587,0.661674464,0.659045008,0.648728016,0.687279273,0.643399917,0.706511065,0.609123779,0.818460134,0.893766711,0.815784558,0.651125831,0.679964581,0.744606327,0.550855251,0.824058407,0.733638628,0.704266859,0.743418414,0.666401061,0.69438676
NCBI:100127888,0.752149397,0.744936324,0.751713986,0.80856726,0.893451056,0.65474447,0.753769285,0.739534165,0.68424906,0.872304626,0.736521032,0.818679702,0.665348587,0.562465841,0.794743445,0.64302442,0.7765416,0.81718926,0.821759766,0.736465796,0.571830989,0.778542347
NCBI:100128098,0.854425402,0.544023204,0.887282344,0.889275718,0.699856447,0.645551832,0.802319036,0.720489383,0.794341194,0.850095094,0.847915791,0.909877837,0.739930714,0.770043177,0.800206373,0.755743291,0.902801643,0.810178715,0.719133953,0.873981954,0.740190239,0.922544516
NCBI:100128191,0.847917231,0.453347001,0.554414132,0.572044532,0.642898103,0.672473557,0.911701028,0.610391512,0.805642891,0.424096159,0.486345687,0.431310897,0.900386718,0.533994369,0.760943299,0.675993368,0.433578719,0.683364584,0.740041563,0.800619676,0.944041897,0.644038633
NCBI:100128262,0.600053019,0.581522813,0.562496001,0.755877562,0.618111819,0.532643961,0.712817151,0.631022422,0.599456284,0.766714732,0.814497979,0.817820181,0.540523117,0.57340836,0.899437645,0.673783294,0.773861727,0.613110394,0.661282206,0.600607398,0.569132798,0.516520473
NCBI:100128285,0.605809741,0.376047573,0.615098244,0.575072485,0.848335915,0.833751806,0.548832192,0.492394267,0.483116983,0.567092032,0.719340102,0.359577792,0.721798477,0.569784944,0.690458535,0.607675273,0.624994112,0.555832642,0.506537716,0.565667057,0.745092917,0.546129349
