,O43474,O60216,O75534,P13639,P26358,P28069,P40763,Q00839,Q13363,Q15022,Q15059,Q15233,Q15366,Q15717,Q15910,Q6UXN9,Q8N6T7,Q8TB72,Q96EV2,Q9UBK2,Q9Y2Z0,Q9Y6K1
NCBI:100009676,0.773181092,0.666275182,0.713327513,0.626495378,0.818656255,0.610638588,0.650189003,0.713974682,0.671573947,0.724390689,0.647110141,0.606592345,0.649456466,0.671794048,0.581260102,0.709248851,0.627665499,0.777504827,0.648822245,0.617479091,0.585703432,0.778658931
NCBI:100048912,0.859351903,0.525978261,0.769085107,0.501095562,0.567297266,0.769710257,0.847238583,0.713853064,0.836515474,0.796065318,0.724711398,0.744267618,0.907936582,0.419225521,0.452605171,0.685042253,0.483778801,0.412408184,0.972776532,0.795416008,0.999307425,0.715013796
NCBI:100093630,0.865616173,0.91761337,0.936163495,0.810688166,0.68302713,0.776932184,0.77969266,0.849003519,0.811013795,0.84074863,0.887950094,0.777120834,0.771386467,0.743746925,0.886087893,0.749302653,0.76788535,0.749868321,0.708347958,0.803904926,0.838580642,0.868184826
NCBI:100093698,0.674054332,0.713920279,0.657908272,0.777915913,0.901646712,0.670645169,0.599198979,0.713663396,0.60868751,0.740329728,0.748919383,0.622175161,0.663143084,0.617868181,0.621760771,0.60354116,0.6411359,0.767243186,0.749210741,0.658887619,0.676489229,0.69610915
NCBI:100113386,0.631263135,0.673804465,0.673150118,0.661267447,0.663963359,0.594137787,0.704673111,0.669574243,0.624639059,0.592667772,0.734781558,0.59437556,0.623601374,0.644010597,0.743731476,0.535995924,0.655809444,0.636570557,0.642678871,0.655413207,0.604576443,0.599653867
NCBI:100124700,0.816372262,0.553148063,0.64358546,0.62399323,0.511393556,0.750155602,0.822358675,0.424316437,0.749471643,0.559121739,0.439465581,0.443442697,0.952500626,0.778646066,0.506244936,0.764958022,0.408474522,0.666940803,0.800077786,0.953688529,0.786848453,0.468466887
NCBI:100126793,0.67610435,0.734851587,0.674774464,0.683045008,0.672728016,0.711279273,0.684899917,0.748011065,0.650623779,0.638500816,0.715610231,0.723168365,0.678045831,0.706884581,0.617371268,0.560275251,0.693731746,0.743058628,0.713686859,0.752838414,0.675821061,0.70380676
NCBI:100127888,0.765249397,0.758036324,0.764813986,0.83256726,0.917451056,0.67874447,0.795269285,0.781034165,0.72574906,0.814870527,0.715375844,0.671259854,0.692268587,0.589385841,0.694881073,0.65244442,0.603724328,0.82660926,0.831179766,0.745885796,0.581250989,0.787962347
NCBI:100128098,0.867525402,0.957581318,0.831833195,0.913275718,0.723856447,0.669551832,0.843819036,0.761989383,0.835841194,0.867595094,0.865415791,0.936797837,0.766850714,0.796963177,0.827126373,0.765163291,0.780031041,0.819598715,0.728553953,0.883401954,0.749610239,0.822901854
NCBI:100128191,0.817294298,0.68686659,0.606484343,0.483264063,0.613547682,0.565726276,0.83162806,0.654260245,0.806739596,0.750318035,0.721327264,0.664265127,0.700149722,0.796279311,0.431228906,0.402670378,0.525043032,0.457835064,0.808822149,0.968533554,0.899674591,0.594694641
NCBI:100128262,0.613153019,0.594622813,0.575596001,0.779877562,0.642111819,0.556643961,0.754317151,0.672522422,0.640956284,0.655238719,0.716820803,0.709966741,0.567443117,0.60032836,0.612601627,0.683203294,0.699530969,0.622530394,0.670702206,0.610027398,0.578552798,0.525940473
NCBI:100128285,0.644113128,0.669841935,0.680498502,0.765898282,0.721539409,0.618830242,0.732179539,0.735666518,0.664663744,0.540674902,0.638216721,0.552957661,0.586515425,0.622743706,0.648641424,0.579583498,0.588447884,0.64171972,0.712558402,0.699217715,0.607602391,0.682579294
NCBI:100128385,0.611703361,0.76032021,0.675609385,0.586652505,0.567963532,0.5759798,0.677258501,0.684777009,0.691184247,0.629137971,0.656717446,0.679269158,0.635079997,0.639956711,0.574069819,0.647943584,0.528620294,0.617859692,0.689715674,0.647338274,0.642701716,0.715001977
NCBI:100128537,0.653770284,0.676627768,0.725934126,0.690526857,0.77956303,0.708373439,0.809784238,0.677236656,0.694420897,0.751580862,0.713461703,0.715057528,0.610717174,0.731265659,0.666427757,0.669263663,0.692781979,0.718808272,0.788880483,0.65831845,0.714330806,0.769369891
NCBI:100128560,0.71457711,0.610859323,0.787373411,0.680078456,0.718023191,0.613771974,0.687376728,0.649685521,0.557594157,0.746740257,0.693322042,0.585037113,0.608138565,0.552710536,0.572901395,0.68903466,0.605516396,0.680330594,0.810779943,0.701671762,0.649054384,0.670778705
