,O43474,O60216,O75534,P13639,P26358,P28069,P40763,Q00839,Q13363,Q15022,Q15059,Q15233,Q15366,Q15717,Q15910,Q6UXN9,Q8N6T7,Q8TB72,Q96EV2,Q9UBK2,Q9Y2Z0,Q9Y6K1
NCBI:100009676,0.73820117,0.501141114,0.421093964,0.422167791,0.843438021,0.838205918,0.628273386,0.548313125,0.390735981,0.525721096,0.524931341,0.653880659,0.683808771,0.417893786,0.451879051,0.70345107,0.694818339,0.524672272,0.359933529,0.554052466,0.366331587,0.562308653
NCBI:100048912,0.920345315,0.416623359,0.76202165,0.451627743,0.568972753,0.45456809,0.974128523,0.488133549,0.88284601,0.599077933,0.45274791,0.605657051,0.819733053,0.604901237,0.756374262,0.474706759,0.666085785,0.572674855,0.906237037,0.90318952,0.942419714,0.496365521
NCBI:100093630,0.865616173,0.91761337,0.936163495,0.810688166,0.68302713,0.776932184,0.77969266,0.849003519,0.811013795,0.779040606,0.916130486,0.963464117,0.771386467,0.743746925,0.905821258,0.749302653,0.818311084,0.749868321,0.708347958,0.803904926,0.838580642,0.868184826
NCBI:100093698,0.674054332,0.713920279,0.657908272,0.777915913,0.901646712,0.670645169,0.599198979,0.713663396,0.60868751,0.791573922,0.980512666,0.843879881,0.663143084,0.617868181,0.818351318,0.60354116,0.848196831,0.767243186,0.749210741,0.658887619,0.676489229,0.69610915
NCBI:100113386,0.611603684,0.395700065,0.464800408,0.630904569,0.860052355,0.824504095,0.418254942,0.588696079,0.768087947,0.704540229,0.368930117,0.496759871,0.695664911,0.681258655,0.722859444,0.568715608,0.351328139,0.695887924,0.627682243,0.713729868,0.571826093,0.55106922
NCBI:100124700,0.908132468,0.775386191,0.554303566,0.550858275,0.762594648,0.541423904,0.829113899,0.505007166,0.767609369,0.601421811,0.523437635,0.431903357,0.873275643,0.639421687,0.575110953,0.743792101,0.695726305,0.67407116,0.779889948,0.84240048,0.85512842,0.641785226
NCBI:100126793,0.67610435,0.734851587,0.674774464,0.683045008,0.672728016,0.711279273,0.684899917,0.748011065,0.650623779,0.835960134,0.911266711,0.842704558,0.678045831,0.706884581,0.771526327,0.560275251,0.833478407,0.743058628,0.713686859,0.752838414,0.675821061,0.70380676
NCBI:100127888,0.765249397,0.758036324,0.764813986,0.83256726,0.917451056,0.67874447,0.795269285,0.781034165,0.72574906,0.889804626,0.754021032,0.845599702,0.692268587,0.589385841,0.821663445,0.65244442,0.7859616,0.82660926,0.831179766,0.745885796,0.581250989,0.787962347
NCBI:100128098,0.867525402,0.557123204,0.900382344,0.913275718,0.723856447,0.669551832,0.843819036,0.761989383,0.835841194,0.867595094,0.865415791,0.936797837,0.766850714,0.796963177,0.827126373,0.765163291,0.912221643,0.819598715,0.728553953,0.883401954,0.749610239,0.931964516
NCBI:100128191,0.861017231,0.466447001,0.567514132,0.596044532,0.666898103,0.696473557,0.953201028,0.651891512,0.847142891,0.441596159,0.503845687,0.458230897,0.927306718,0.560914369,0.787863299,0.685413368,0.442998719,0.692784584,0.749461563,0.810039676,0.953461897,0.653458633
NCBI:100128262,0.613153019,0.594622813,0.575596001,0.779877562,0.642111819,0.556643961,0.754317151,0.672522422,0.640956284,0.784214732,0.831997979,0.844740181,0.567443117,0.60032836,0.926357645,0.683203294,0.783281727,0.622530394,0.670702206,0.610027398,0.578552798,0.525940473
